a.	[ə.]	n. 天主教徒
requirement	[rɪkˈwaɪrmənt]	n. 要求；必要条件；必需品
rescue	[ˈrɛskju]	v. 营救；援救 ｜n. 营救；援救；解救
resemblance	[rɪˈzɛmbləns]	n. 相似,相似性[点,物]
resemble	[rɪˈzɛmbəl]	v. 像,类似
resent	[rɪˈzɛnt]	v. 对…表示忿恨,怨恨
reservation	[ˌrɛzərˈveɪʃən]	n. 预约，预订；保留
reservoir	[ˈrɛzəvˌwɑr]	n. 水库；蓄水池
residence	[ˈrɛzɪdəns]	n. 住处,住宅
resident	[ˈrɛzɪdənt]	n. 居民,常住者 ｜adj. 居住的
resign	[rɪˈzaɪn]	v. 辞去,辞职；使听从(于),使顺从 ｜n. 辞去职务
resist	[rɪˈzɪst]	v. 忍得住；抗拒，对抗；反抗，抵御 ｜n. [助剂] 抗蚀剂；防染剂
resistant	[rɪˈzɪstənt]	adj. (to)抵抗的,有抵抗力的 ｜n. 抵抗者
resolute	[ˈrɛzəˌlut]	adj. 坚决的,果断的
resolve	[riˈzɑlv]	v. 决心；(使)分解,溶解；决议 ｜n. 决心
resort	[rɪˈzɔrt]	n. 凭借，手段；度假胜地；常去之地 ｜v. 求助，诉诸；常去；采取某手段或方法
resource	[rɪˈsɔːs]	n. 资源，财力；办法；智谋
respective	[rɪˈspɛktɪv]	adj. 各自的,各个的
restless	[ˈrɛstləs]	adj. 得不到休息的；不平静的；不安的， 坐立不安的
restore	[rɪˈstɔr]	v. 恢复；修复；归还
restrain	[riˈstreɪn]	v. 抑制，控制；约束；制止
restraint	[rɪˈstreɪnt]	n. 抑制，克制；约束
restrict	[riˈstrɪkt]	v. 限制；约束；限定
resultant	[riˈzəltənt]	adj. 作为结果而发生的
resume	[ˈrɛzəˌmeɪ]	n. 个人简历 ｜v. 再继续；重新开始
retain	[rɪˈteɪn]	v. 保持,保留
retention	[riˈtɛnʃən]	n. 保留；扣留，滞留；记忆力；闭尿
retire	[ˌriˈtaɪər]	v. 退休；撤退；退却 ｜n. 退休；退隐；退兵信号
retort	[ˈriˌtɔrt]	n. 反驳，顶嘴；曲颈瓶 ｜v. 反驳，反击
retreat	[riˈtrit]	n. 撤退；休息寓所；撤退 ｜v. 撤退；退避；向后倾
retrieve	[rɪˈtriv]	v. [计] 检索；恢复；重新得到 ｜n. [计] 检索；恢复，取回
retrofit	[ˈretrəʊfɪt]	v. 改造
retrospect	[ˈrɛtrəˌspɛkt]	n. 回顾，回想，追溯 ｜v. 回顾，追溯；回想
reusable	[riːˈjuːzəbl]	adj. 可重复
reuse	[riːˈjuːz]	v. 复用
reveal	[rɪˈvil]	v. 显示；透露；揭露；泄露 ｜n. 揭露；暴露；门侧，窗侧
revelation	[ˌrɛvəˈleɪʃən]	n. 启示；揭露；出乎意料的事；被揭露的真相
revenge	[riˈvɛnʤ]	n. 报复,复仇 ｜v. 替…报仇
reverse	[rɪˈvərs]	n. 相反;背面 ｜adj. 相反的 ｜v. 颠倒,倒转
revise	[rɪˈvaɪz]	v. 修正,修改；修订,校订 ｜n. 修订；校订
revive	[rɪˈvaɪv]	v. 复兴；恢复；（使）复苏
revolt	[rɪˈvoʊlt]	n. 反抗；造反，起义 ｜v. 起义；反抗
revolutionary	[ˌrɛvəˈluʃəˌnɛri]	adj. 革命的；革新的 ｜n. 革命者
revolve	[riˈvɑlv]	v. (使)旋转 ｜n. 旋转；循环；旋转舞台
reward	[rɪˈwɔrd]	n. [劳经] 报酬；报答；酬谢 ｜v. [劳经] 奖励；奖赏
rhythm	[ˈrɪðəm]	n. 节奏；韵律
rib	[rɪb]	n. 肋骨；排骨；肋状物 ｜v. 戏弄；装肋于
ribbon	[ˈrɪbən]	n. 带；缎带；（勋章等的）绶带；带状物；勋表 ｜vi. 形成带状 ｜vt. 把…撕成条带；用缎带装饰
rid	[rɪd]	v. 使摆脱；使去掉 ｜n. (Rid)人名；(英)里德
riddle	[ˈrɪdəl]	v. 解谜；给出谜；充满于 ｜n. 谜语；粗筛；谜一般的人、东西、事情等
ridge	[rɪʤ]	n. 山脊；山脉；屋脊 ｜v. 使成脊状；作垄
ridiculous	[rɪˈdɪkjələs]	adj. 可笑的；荒谬的
rifle	[ˈraɪfəl]	n. 步枪；来复枪 ｜v. 用步枪射击；抢夺；偷走
rigid	[ˈrɪdʒɪd]	adj. 严格的；僵硬的，死板的；坚硬的；精确的
rigorous	[ˈrɪgərəs]	adj. 严格的，严厉的；严密的；严酷的
rim	[rɪm]	n. 边，边缘；轮辋；圆圈 ｜v. 作…的边，装边于
riot	[raɪət]	n. 暴乱；放纵；蔓延 ｜v. 骚乱；放荡
rip	[rɪp]	v. 撕；锯 ｜n. 裂口，裂缝
ripe	[raɪp]	adj. 熟的，成熟的；时机成熟的 ｜vt. 搜查；调查 ｜vi. 进行搜查 ｜n. (Ripe)人名；(意、瑞典)里佩
ritual	[ˈrɪʧuəl]	n. 仪式；惯例；礼制 ｜adj. 仪式的；例行的；礼节性的
rival	[ˈraɪvəl]	n. 对手；竞争者 ｜v. 与…竞争；比得上某人 ｜adj. 竞争的
roar	[rɔr]	n. 咆哮；吼；轰鸣 ｜v. 咆哮；吼叫；喧闹
roast	[roʊst]	v. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖 ｜adj. 烘烤的；烤过的 ｜n. 烤肉；烘烤
rob	[rɑb]	v. 抢劫；使…丧失；非法剥夺
robe	[roʊb]	n. 长袍，礼服；制服 ｜v. 穿长袍
robot	[ˈrəʊbɒt]	n. 机器人；遥控设备，自动机械；机械般工作的人
robust	[roʊˈbəst]	adj. 强健的；健康的；粗野的；粗鲁的
robustness	[rəʊˈbʌstnəs]	n. 鲁棒性
rocket	[ˈrɒkɪt]	v. 飞驰，飞快地移动；迅速增加 ｜n. 火箭
rod	[rɑd]	n. 棒；惩罚；枝条；权力
romance	[ˈroʊmæns]	n. 爱情；恋爱 ｜v. 虚构；渲染；写传奇
romantic	[roʊˈmæntɪk]	adj. 浪漫的；传奇式的；不切实际的,好幻想的 ｜n. 浪漫的人 ｜vt. 使…浪漫化
root	[rut]	n. 根；根源；词根；祖先 ｜v. 生根；根除
rope	[roʊp]	n. 绳，绳索 ｜v. 捆，绑
rot	[rɑt]	n. 腐烂；腐败；腐坏 ｜v. 腐烂；腐败；堕落 int. （表示厌恶、蔑视、烦恼等）胡说；糟了
rotary	[ˈroʊtəri]	adj. 旋转的，转动的；轮流的 ｜n. 旋转式机器；[动力] 转缸式发动机
rotate	[ˈroʊˌteɪt]	v. 旋转；循环 ｜adj. [植] 辐状的
rotten	[ˈrɑtən]	adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的 ｜adv. 非常 ｜n. (Rotten)人名；(法、德)罗滕
roundabout	[ˈraʊndəˌbaʊt]	adj. 迂回的，绕道的；圆滚滚的 ｜n. 迂回路线；环状交叉路口
rouse	[raʊz]	v. 唤醒；激起，使振奋；惊起 ｜n. 觉醒；奋起
routine	[ruˈtin]	n. [计] 程序；日常工作；例行公事 ｜adj. 日常的；例行的
royalty	[ˈrɔɪəlti]	n. 皇室；版税；王权；专利税
rub	[rəb]	v. 擦；摩擦；惹怒 ｜n. 摩擦；障碍；磨损处
rubber	[ˈrəbər]	n. 橡胶；橡皮；合成橡胶；按摩师 ｜adj. 橡胶制成的 ｜v. 涂橡胶于；用橡胶制造
rubbish	[ˈrəbɪʃ]	n. 垃圾，废物；废话 ｜adj. 毫无价值的
ruby	[ˈrubi]	n. 红宝石；红宝石色 ｜adj. 红宝石色的 ｜vt. 使带红宝石色
rude	[rud]	adj. 粗鲁的；无礼的；狂暴的；未开化的 ｜n. (Rude)人名；(英、西、瑞典)鲁德；(法)吕德
rug	[rəg]	n. 小地毯；毛皮地毯；男子假发
ruin	[ruɪn]	n. 废墟；毁坏；灭亡 ｜v. 毁灭；使破产
ruler	[ˈrulər]	n. 尺；统治者；[测] 划线板，划线的人
rumor	[ˈrumər]	n. 谣言；传闻 ｜v. 谣传；传说
rumour	[ˈrumər]	n. 传闻， 谣言
rush	[rəʃ]	n. 冲进；匆促；急流；灯心草 ｜adj. 急需的 ｜v. 使冲；突袭；匆忙地做；飞跃
rust	[rəst]	n. 锈；生锈；[植保] 锈病 ｜v. 使生锈；腐蚀
ruthless	[ˈruθləs]	adj. 无情的，残忍的
sack	[sæk]	n. 麻布袋；洗劫 ｜v. 解雇；把……装入袋；劫掠
sacred	[ˈseɪkrɪd]	adj. 神的；神圣的；宗教的；庄严的
sacrifice	[ˈsækrəˌfaɪs]	n. 牺牲；祭品；供奉 ｜v. 牺牲；献祭；亏本出售
saddle	[ˈsædəl]	n. 鞍，鞍状物；车座；拖具 ｜v. 承受；使负担；装以马鞍
safeguard	[ˈseɪfˌgɑrd]	n. [安全] 保护；保卫；保护措施 ｜v. [安全] 保护，护卫
sail	[seɪl]	v. 航行；启航，开船 ｜n. 帆，篷；航行
saint	[seɪnt]	n. 圣人；圣徒；道德崇高的人 ｜adj. 神圣的 ｜v. 成为圣徒
sake	[seɪk]	n. 目的；利益；理由；日本米酒
salad	[ˈsæləd]	n. 色拉；尤指莴苣
salary	[ˈsæləri]	vt. 给加薪；给薪水 ｜n. 薪水
salesman	[ˈseɪlzmən]	n. 售货员,推销员
salient	[ˈseɪljənt]	adj. 显著的， 突出的
salute	[səˈlut]	n. 致敬，欢迎；敬礼 ｜v. 行礼致敬，欢迎
salvation	[sælˈveɪʃən]	n. 拯救；救助
sanction	[ˈsæŋkʃən]	v. 批准,同意,支持,认可 ｜n. 批准,同意,支持,认可；制裁；处罚
sand	[sænd]	n. 沙；沙地；沙洲；沙滩；沙子 ｜v. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
sandwich	[ˈsænwɪʧ]	v. 夹入；挤进；把做成三明治 ｜n. 三明治；夹心面包
sane	[seɪn]	adj. 心智健全的,神志清醒的；明智的 ｜n. (Sane)人名；(日)实(姓)；(日)实(名)；(芬、塞、冈、几比、塞内)萨内
sarcastic	[sɑrˈkæstɪk]	adj. 挖苦的；尖刻的，辛辣的
satellite	[ˈsætəlaɪt]	n. 卫星
satire	[ˈsæˌtaɪər]	n. 讽刺；讽刺文学，讽刺作品
satisfaction	[ˌsætɪsˈfækʃən]	n. 满足,满意
satisfactory	[ˌsætɪsˈfæktəri]	adj. 令人满意的,圆满的,良好的,符合要求的
saturate	[ˈsæʧərˌeɪt]	v. 浸透，使湿透；使饱和，使充满 ｜adj. 浸透的，饱和的；深颜色的
sauce	[sɔs]	n. 酱油；沙司；调味汁 ｜v. 使增加趣味；给…调味
saucer	[ˈsɔsər]	n. 茶托，浅碟；浅碟形物；眼睛
sausage	[ˈsɔsɪʤ]	n. 香肠；腊肠；装香肠的碎肉
savage	[ˈsævɪʤ]	adj. 野蛮的；残酷的；狂怒的；荒凉的 ｜n. 未开化的人；粗鲁的人；残暴成性的人 ｜v. 乱咬；粗暴的对待
scaling	[ˈskeɪlɪŋ]	n. 规模化
scan	[skæn]	v. 扫描；浏览；细看；详细调查；标出格律 ｜n. 扫描；浏览；审视；细看
scandal	[ˈskændəl]	n. 丑闻；流言蜚语；诽谤；公愤
scar	[skɑr]	v. 伤害；给留下伤痕 ｜n. 创伤；伤痕
scarce	[skɛrs]	adj. 缺乏的，不足的；稀有的 ｜adv. 仅仅；几乎不；几乎没有
scarcely	[ˈskɛrsli]	adv. 几乎不，简直不；简直没有
scare	[skɛr]	v. 惊吓；把…吓跑 ｜n. 恐慌；惊吓；惊恐 ｜adj. （美）骇人的
scarf	[skɑrf]	n. 围巾；嵌接，嵌接处；头巾领巾 ｜v. 披嵌接；用围巾围
scatter	[ˈskætər]	v. 分散，散开；散射 ｜n. 分散；散播，撒播
scattered	[ˈskætərd]	adj. 离散的， 分散的
scenario	[sɪˈnɑːriəʊ]	n. 情境 “；剧本
scenery	[ˈsinəri]	n. 风景；景色；舞台布景
scent	[sɛnt]	n. 气味；嗅觉；痕迹；察觉能力 ｜v. 闻到；发觉；使充满…的气味；循着遗臭追踪
scholar	[ˈskɑlər]	n. 学者；奖学金获得者
scholarship	[ˈskɑlərˌʃɪp]	n. 奖学金；学识，学问
scientist	[ˈsaɪəntɪst]	n. 科学家
scissors	[ˈsɪzərz]	n. 剪刀；剪式跳法 ｜v. 剪开；删除（scissor的第三人称单数）
scold	[skoʊld]	v. 责骂；叱责 ｜n. 责骂；爱责骂的人
scope	[skoʊp]	n. 范围；余地；视野；眼界；导弹射程 ｜v. 审视
scorn	[skɔrn]	n. 轻蔑；嘲笑；藐视的对象 ｜v. 轻蔑；藐视；不屑做
scout	[skaʊt]	n. 搜索，侦察；侦察员；侦察机 ｜v. 侦察；跟踪，监视；发现
scramble	[ˈskræmbəl]	v. 攀登；使混杂，仓促凑成；扰乱 ｜n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
scrap	[skræp]	n. 碎片；残余物；打架；少量 ｜v. 废弃；使解体；拆毁 ｜adj. 废弃的；零碎的
scrape	[skreɪp]	n. 刮掉；擦痕；困境；刮擦声 ｜v. 刮；擦伤；挖成
scratch	[skræʧ]	n. 擦伤；抓痕；刮擦声；乱写 ｜adj. 打草稿用的；凑合的；碰巧的 ｜v. 抓；刮；挖出；乱涂
scream	[skrim]	v. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心 ｜n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
screw	[skru]	v. 旋，拧；压榨；强迫 ｜n. 螺旋；螺丝钉；吝啬鬼
script	[skrɪpt]	n. 剧本(原稿),手稿，原稿；笔迹，手迹 ｜v. 把…改编为剧本
scrutiny	[ˈskrutəni]	n. 详细审查；监视；细看；选票复查
sculpture	[ˈskəlpʧər]	n. 雕塑；雕刻；刻蚀 ｜v. 雕塑；雕刻；刻蚀
seal	[sil]	n. 密封；印章；海豹；封条；标志 ｜v. 密封；盖章
seam	[sim]	n. 缝；接缝 ｜v. 缝合；接合；使留下伤痕
seaside	[ˈsiˌsaɪd]	n. 海滨,海边 ｜adj. 海边的；海滨的
seed	[sid]	n. 种子；根据；精液；萌芽；子孙；原由 ｜v. 播种；结实；成熟；去…籽
seemingly	[ˈsimɪŋli]	adv. 看来似乎；表面上看来
segment	[ˌsɛgˈmɛnt]	v. 分割 ｜n. 段；部分
segregate	[ˈsɛgrəˌgeɪt]	v. 使隔离；使分离；在…实行种族隔离
seize	[siz]	v. 抓住；夺取；理解；逮捕
seldom	[ˈsɛldəm]	adv. 很少，不常
select	[səˈlɛkt]	v. 选择,挑选 ｜adj. 精选的,选择的 ｜n. 被挑选者；精萃
selfbuild	[selfˈbɪld]	n. 自建
selfish	[ˈsɛlfɪʃ]	adj. 自私的；利己主义的
semester	[sɪˈmestə]	n. 学期；半年
semiconductor	[ˌsɛmɪkənˈdəktər]	n. 半导体
seminar	[ˈsɛməˌnɑr]	n. 讨论会，研讨班
sensation	[sɛnˈseɪʃən]	n. 感觉,知觉；激动,轰动,轰动一时的事情
sensible	[ˈsɛnsəbəl]	adj. 明智的,合理的；可觉察的,明显的 ｜n. 可感觉到的东西; 敏感的人
sensitive	[ˈsɛnsɪtɪv]	adj. 敏感的，容易生气的 ｜n. 敏感的人；有灵异能力的人
sentiment	[ˈsɛnəmənt]	n. 意见，观点，感想；多愁善感；感情因素
sequence	[ˈsikwəns]	n. 顺序，次序 ｜v. 按顺序排好
serial	[ˈsɪˌriəl]	adj. 连续的；连载的；分期偿还的 ｜n. 电视连续剧；[图情] 期刊；连载小说
servant	[ˈsərvənt]	n. 仆人，佣人；公务员；雇工
setback	[ˈsɛtˌbæk]	n. 挫折；退步；逆流
settle	[ˈsɛtəl]	v. 解决；定居；沉淀；下陷 ｜n. 有背长椅
settlement	[ˈsɛtəlmənt]	n. 解决，处理；[会计] 结算；沉降；殖民
sew	[soʊ]	v. 缝合，缝上；缝纫
shabby	[ˈʃæbi]	adj. 破旧的；卑鄙的；吝啬的；低劣的
shadow	[ˈʃæˌdoʊ]	n. 阴影；影子；幽灵；庇护；隐蔽处 ｜v. 遮蔽；使朦胧；尾随；预示 ｜adj. 影子内阁的
shady	[ˈʃeɪdi]	adj. 成荫的；阴暗的；名声不好的 ｜n. (Shady)人名；(阿拉伯)沙迪
shaft	[ʃæft]	n. 拍杆；[机] 轴；箭杆；杆状物 ｜v. 利用；在……上装杆
shake	[ʃeɪk]	v. 动摇；摇动；震动；握手 ｜n. 摇动；哆嗦
shallow	[ˈʃæloʊ]	adj. 浅的,浅薄的 ｜n. 浅滩,浅处 ｜v. 使变浅
sham	[ʃæm]	n. 假装；骗子；赝品 ｜v. 假装；冒充 ｜adj. 假的；虚假的；假装的
shampoo	[ʃæmˈpu]	n. 洗发；洗发精 ｜v. 洗发
shark	[ʃɑrk]	n. 鲨鱼；骗子 ｜v. 诈骗
sharp	[ʃɑrp]	adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的 ｜adv. 急剧地；锐利地；突然地 ｜n. 尖头；骗子；内行 ｜vt. 磨快；把音调升高 ｜vi. 打扮；升音演奏
shatter	[ˈʃætər]	v. 粉碎；打碎；破坏；破掉；使散开 ｜n. 碎片；乱七八糟的状态
shave	[ʃeɪv]	v. 剃须，剃毛 ｜n. 刮脸，剃胡子；修面；口侥幸逃过，幸免；剃刀，刮刀
shear	[ʃɪr]	v. 剪；修剪；剥夺 ｜n. [力] 切变；修剪；大剪刀
shed	[ʃɛd]	vt. 流出；发散， 散发；脱落； 摆脱 ｜n. 棚， 小屋
sheep	[ʃip]	n. 羊，绵羊；胆小鬼
sheer	[ʃɪr]	adj. 绝对的；透明的；峻峭的；纯粹的 ｜adv. 完全；陡峭地 ｜v. 偏航 ｜n. 偏航；透明薄织物
shelf	[ʃɛlf]	n. 架子；搁板；搁板状物；暗礁
shell	[ʃɛl]	n. 壳，贝壳；炮弹；外形 ｜v. 剥落；设定命令行解释器的位置
shelter	[ˈʃɛltər]	n. 庇护；避难所；遮盖物 ｜v. 保护；使掩蔽
shepherd	[ˈʃɛpərd]	n. 牧民,牧羊人 ｜v. 牧羊；带领；指导；看管
shield	[ʃild]	n. 盾；防护物；保护者 ｜v. 遮蔽；包庇；避开；保卫
shilling	[ˈʃɪlɪŋ]	n. 先令
shine	[ʃaɪn]	v. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众 ｜n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计
shipment	[ˈʃɪpmənt]	n. 装货；装载的货物
shiver	[ˈʃɪvər]	v. 战栗,发抖 ｜n. 战栗,发抖
shock	[ʃɑk]	n. 休克；震惊；震动；打击；禾束堆 ｜v. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆 ｜adj. 浓密的；蓬乱的
shoe	[ʃu]	n. 鞋；蹄铁；外胎 ｜v. 给……穿上鞋；穿……鞋
shopkeeper	[ˈʃɑpˌkipər]	n. 店主，老板
shore	[ʃɔr]	v. 支撑，使稳住；用支柱撑住 ｜n. 海滨；支柱
shortage	[ˈʃɔːtɪdʒ]	n. 缺乏，缺少；不足
shortcoming	[ˈʃɔrtˌkəmɪŋ]	n. 缺点；短处
shorten	[ˈʃɔːtn]	v. 缩短
shorthand	[ˈʃɔrˌthænd]	n. 速记；速记法 ｜adj. 速记法的
shortly	[ˈʃɔrtli]	adv. 立刻；简短地；唐突地
shoulder	[ˈʃoʊldər]	n. 肩，肩膀；肩部 ｜v. 肩负，承担
shout	[ʃaʊt]	v. 呼喊；喊叫；大声说 ｜n. 呼喊；呼叫
shove	[ʃəv]	v. 挤；强使；撞；猛推 ｜n. 推；挤
shower	[ʃaʊər]	n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨 ｜v. 大量地给予；把……弄湿
shrewd	[ʃrud]	adj. 精明的；狡猾的；机灵的 ｜n. 精明（的人）；机灵（的人）
shrink	[ʃrɪŋk]	v. 起皱； 收缩；退缩， 畏缩
shrug	[ʃrəg]	v. 耸肩，耸肩表示 ｜n. 耸肩
shutter	[ˈʃətər]	n. 快门；百叶窗；关闭物；遮板 ｜v. 为…装百叶窗；以百叶窗遮闭
shuttle	[ˈʃətəl]	n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等 ｜v. 使穿梭般来回移动；短程穿梭般运送
shy	[ʃaɪ]	adj. 害羞的；畏缩的，胆怯的 ｜v. 投；畏缩；惊退；厌恶 ｜n. 投掷；惊跳
sideways	[ˈsaɪdˌweɪz]	adj. 向旁边(的),侧身,横着(的),斜着(的) ｜adv. 向侧面地；向一旁
siege	[siʤ]	n. 围攻；包围；围城；不断袭击；长期努力 ｜vt. 围攻；包围
sigh	[saɪ]	v. 叹息，叹气 ｜n. 叹息，叹气
sightseeing	[ˈsaɪtˈsiɪŋ]	n. 观光；游览 ｜adj. 观光的；游览的 ｜v. 观光（sightsee的ing形式）；游览
signature	[ˈsɪgnəʧər]	n. 签名,署名,签字
significance	[sɪgˈnɪfɪkəns]	n. 重要性; 意义
signify	[ˈsɪgnəˌfaɪ]	v. 表示,意味；要紧,有重要性
silence	[ˈsaɪləns]	n. 沉默；寂静；缄默；不谈；无声状态 ｜v. 使沉默；使安静；压制；消除噪音 int. 安静！；别作声！
silicon	[ˈsɪləkən]	n. [化学] 硅；硅元素
silk	[sɪlk]	n. 丝绸；蚕丝；丝织物 ｜adj. 丝的；丝绸的；丝制的 ｜vi. （玉米）处于长须的阶段中
silly	[ˈsɪli]	adj. 愚蠢的；不明事理的；没头脑的 ｜n. 傻瓜
simplicity	[sɪmˈplɪsɪti]	n. 简单,简易;朴素;直率,单纯
simplify	[ˈsɪmpləˌfaɪ]	v. 简化,使单纯
simulate	[ˈsɪmjəˌleɪt]	v. 模仿,模拟；假装,冒充 ｜adj. 模仿的；假装的
simultaneous	[ˌsaɪməlˈteɪniəs]	adj. 同时的,同时存在的 ｜n. 同时译员
sin	[sɪn]	n. 罪恶；罪孽；过失 ｜v. 犯罪；犯过失
sincere	[sɪnˈsɪr]	adj. 诚挚的， 诚恳的； 忠实的， 忠诚的
singular	[ˈsɪŋgjələr]	adj. 单数的；单一的；非凡的；异常的 ｜n. 单数
sink	[sɪŋk]	v. 下沉；消沉；渗透 ｜n. 水槽；洗涤槽；污水坑
sip	[sɪp]	n. 抿；小口喝；单列直插式组件 ｜v. 啜饮
siren	[ˈsaɪrən]	n. 警报声， 警报器
situated	[ˈsɪʧuˌeɪtɪd]	adj. 位于…的；处于…境遇的 ｜v. 使位于；使处于（situate的过去分词）
skate	[skeɪt]	v. 滑冰；滑过 ｜n. 溜冰；冰鞋
skeleton	[ˈskɛlətən]	n. 骨架，骨骼；纲要；骨瘦如柴的人 ｜adj. 骨骼的；骨瘦如柴的；概略的
skeptical	[ˈskɛptɪkəl]	adj. 怀疑的；怀疑论的，不可知论的
skepticism	[ˈskeptɪsɪzəm]	n. 质疑
sketch	[skɛʧ]	n. 素描；略图；梗概 ｜v. 画素描或速写
ski	[ski]	n. 滑雪橇 ｜v. 滑雪 ｜adj. 滑雪（用）的
skilled	[skɪld]	adj. 熟练的；有技能的；需要技能的
skillful	[ˈskɪlfəl]	adj. 熟练的；巧妙的
skim	[skɪm]	v. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入） ｜n. 撇；撇去的东西；表层物；瞒报所得的收入 ｜adj. 脱脂的；撇去浮沫的；表层的
skip	[skɪp]	v. 跳跃；跳绳；遗漏；跳读 ｜n. 跳跃；跳读
skirt	[skərt]	n. 裙子 ｜v. 绕过，回避；位于…边缘
skull	[skəl]	n. 头盖骨，脑壳
skyscraper	[ˈskaɪˌskreɪpər]	n. 摩天楼，超高层大楼；特别高的东西
slack	[slæk]	adj. 松弛的；疏忽的；不流畅的 ｜v. 松懈；减弱 ｜n. 煤末；峡谷 ｜adv. 马虎地；缓慢地
slam	[slæm]	v. 砰地关上；猛力抨击 ｜n. 猛击；砰然声
slap	[slæp]	v. 拍击；侮辱；掌击；掴…的耳光 ｜n. 掴；侮辱；掌击；拍打声 ｜adv. 直接地；猛然地；恰好
slaughter	[sˈlɔtər]	v. 屠宰，屠杀；杀戮；使惨败 ｜n. 屠宰，屠杀；杀戮；消灭
slave	[sleɪv]	n. 奴隶；从动装置 ｜v. 苦干；拼命工作
sleeve	[sliv]	n. [机] 套筒，[机] 套管；袖子，[服装] 袖套 ｜vt. 给……装袖子；给……装套筒
slender	[sˈlɛndər]	adj. 细长的；苗条的；微薄的
slice	[slaɪs]	n. 薄片；部分；菜刀，火铲 ｜v. 切下；把…分成部分；将…切成薄片
slide	[slaɪd]	n. 滑动；幻灯片；滑梯；雪崩 ｜v. 滑动；滑落；不知不觉陷入
slight	[slaɪt]	adj. 轻微的，少量的；脆弱的；细长的；不重要的 ｜v. 轻视，忽略；怠慢 ｜n. 怠慢；轻蔑
slim	[slɪm]	adj. 苗条的；修长的；微小的；差的 ｜v. 使…体重减轻；使…苗条 ｜n. (Slim)人名；(阿拉伯)萨利姆；(英、西)斯利姆
slip	[slɪp]	v. 滑动；滑倒；犯错；失足；减退 ｜n. 滑，滑倒；片，纸片；错误；下跌；事故 ｜adj. 滑动的；有活结的；活络的 abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
slipper	[sˈlɪpər]	n. 拖鞋 ｜vt. 用拖鞋打
slippery	[sˈlɪpəri]	adj. 滑的；狡猾的；不稳定的
slit	[slɪt]	v. 撕裂；使有狭缝 ｜n. 裂缝；投币口
slogan	[sˈloʊgən]	n. 标语；呐喊声
slope	[sloʊp]	n. 斜坡；倾斜；斜率；扛枪姿势 ｜v. 倾斜；逃走
slot	[slɑt]	n. 位置；狭槽；水沟；硬币投币口 ｜v. 跟踪；开槽于
slum	[sləm]	v. （为猎奇或救济等）去贫民窟 ｜n. 贫民窟；陋巷；脏乱的地方
sly	[slaɪ]	adj. 狡猾的；淘气的；诡密的 ｜n. (Sly)人名；(英)斯莱
smash	[smæʃ]	v. 粉碎；使破产；溃裂 ｜n. 破碎；扣球；冲突；大败 ｜adj. 了不起的；非常轰动的；出色的
smell	[smɛl]	v. 嗅，闻；有…气味 ｜n. 气味，嗅觉；臭味
smog	[smɑg]	n. 烟雾
smuggle	[sˈməgəl]	v. 走私；偷运
snack	[snæk]	n. 小吃，快餐；一份，部分 ｜v. 吃快餐，吃点心
snake	[sneɪk]	n. 蛇；阴险的人 ｜v. 迂回前进
snap	[snæp]	v. 突然折断，拉断；猛咬；啪地关上 ｜n. 猛咬；劈啪声；突然折断 ｜adj. 突然的
snatch	[snæʧ]	n. 抢夺；抓举；小量 ｜v. 夺得；抽空做；及时救助
sneak	[snik]	v. 溜；鬼鬼祟祟做事；向老师打小报告 ｜n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者 ｜adj. 暗中进行的
sneeze	[sniz]	v. 打喷嚏 ｜n. 喷嚏
sniff	[snɪf]	v. 嗅；嗤之以鼻 ｜n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声
snobbish	[sˈnɑbɪʃ]	adj. 势利的
snowstorm	[sˈnoʊˌstɔrm]	n. 暴风雪；雪暴
so-called	[ˈsoʊˈkɔld]	adj. 所谓的， 号称的
soak	[soʊk]	v. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透 ｜n. 浸；湿透；大雨
soap	[soʊp]	n. 肥皂 ｜v. 将肥皂涂在……上；对……拍马屁（俚语）
soar	[sɔr]	v. 高飞；高耸；往上飞舞 ｜n. 高飞；高涨
soaring	[ˈsɔːrɪŋ]	adj. 飞涨
sob	[sɑb]	v. 啜泣，呜咽；（风等）发出呜咽声 ｜n. 啜泣，呜咽
sober	[ˈsoʊbər]	adj. 冷静的，清醒的；未醉的 ｜v. 使严肃；使醒酒，使清醒 ｜n. (Sober)人名；(英)索伯
